sku,sku,visibility,name,website_ids,price,attribute_set_id,category_ids,brand,short_description,description,weight,qty,tier_qty,tier_price,customer_group_id,meta_title,meta_keyword,meta_description,legacy_id
iphone1,demo-10112,4,Phone Model X1_0,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X1,Phone Model X1 keyword,Phone Model X1 desc,1
iphone2,demo-10113,4,Phone Protective Case1_1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X2,Phone Model X1 keyword,Phone Model X1 desc,2
iphone3,demo-10114,4,Phone Model y1_2,1,51,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X3,Phone Model X1 keyword,Phone Model X1 desc,3
iphone4,demo-10115,4,Phone Protective Case x1_3,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X4,Phone Model X1 keyword,Phone Model X1 desc,4
iphone5,demo-10116,4,Phone Model X1_4,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X5,Phone Model X1 keyword,Phone Model X1 desc,5
iphone6,demo-10117,4,Phone Protective Case1_5,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X6,Phone Model X1 keyword,Phone Model X1 desc,6
iphone7,demo-10118,4,Phone Model y1_6,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X7,Phone Model X1 keyword,Phone Model X1 desc,7
iphone8,demo-10119,4,Phone Protective Case x1_7,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X8,Phone Model X1 keyword,Phone Model X1 desc,8
iphone9,demo-10120,4,Phone Model X1_8,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X9,Phone Model X1 keyword,Phone Model X1 desc,9
iphone10,demo-10121,4,Phone Protective Case1_9,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X10,Phone Model X1 keyword,Phone Model X1 desc,10
iphone11,demo-10122,4,Phone Model y1_10,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X11,Phone Model X1 keyword,Phone Model X1 desc,11
iphone12,demo-10123,4,Phone Protective Case x1_11,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X12,Phone Model X1 keyword,Phone Model X1 desc,12
iphone13,demo-10124,4,Phone Model X1_12,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X13,Phone Model X1 keyword,Phone Model X1 desc,13
iphone14,demo-10125,4,Phone Protective Case1_13,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X14,Phone Model X1 keyword,Phone Model X1 desc,14
iphone15,demo-10126,4,Phone Model y1_14,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X15,Phone Model X1 keyword,Phone Model X1 desc,15
iphone16,demo-10127,4,Phone Protective Case x1_15,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X16,Phone Model X1 keyword,Phone Model X1 desc,16
iphone17,demo-10128,4,Phone Model X1_16,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X17,Phone Model X1 keyword,Phone Model X1 desc,17
iphone18,demo-10129,4,Phone Protective Case1_17,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X18,Phone Model X1 keyword,Phone Model X1 desc,18
iphone19,demo-10130,4,Phone Model y1_18,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X19,Phone Model X1 keyword,Phone Model X1 desc,19
iphone20,demo-10131,4,Phone Protective Case x1_19,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X20,Phone Model X1 keyword,Phone Model X1 desc,20
iphone21,demo-10132,4,Phone Model X1_20,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X21,Phone Model X1 keyword,Phone Model X1 desc,21
iphone22,demo-10133,4,Phone Protective Case1_21,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X22,Phone Model X1 keyword,Phone Model X1 desc,22
iphone23,demo-10134,4,Phone Model y1_22,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X23,Phone Model X1 keyword,Phone Model X1 desc,23
iphone24,demo-10135,4,Phone Protective Case x1_23,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X24,Phone Model X1 keyword,Phone Model X1 desc,24
iphone25,demo-10136,4,Phone Model X1_24,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X25,Phone Model X1 keyword,Phone Model X1 desc,25
iphone26,demo-10137,4,Phone Protective Case1_25,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X26,Phone Model X1 keyword,Phone Model X1 desc,26
iphone27,demo-10138,4,Phone Model y1_26,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X27,Phone Model X1 keyword,Phone Model X1 desc,27
iphone28,demo-10139,4,Phone Protective Case x1_27,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X28,Phone Model X1 keyword,Phone Model X1 desc,28
iphone29,demo-10140,4,Phone Model X1_28,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X29,Phone Model X1 keyword,Phone Model X1 desc,29
iphone30,demo-10141,4,Phone Protective Case1_29,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X30,Phone Model X1 keyword,Phone Model X1 desc,30
iphone31,demo-10142,4,Phone Model y1_30,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X31,Phone Model X1 keyword,Phone Model X1 desc,31
iphone32,demo-10143,4,Phone Protective Case x1_31,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X32,Phone Model X1 keyword,Phone Model X1 desc,32
iphone33,demo-10144,4,Phone Model X1_32,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X33,Phone Model X1 keyword,Phone Model X1 desc,33
iphone34,demo-10145,4,Phone Protective Case1_33,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X34,Phone Model X1 keyword,Phone Model X1 desc,34
iphone35,demo-10146,4,Phone Model y1_34,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X35,Phone Model X1 keyword,Phone Model X1 desc,35
