sku,visibilty,name,website_ids,price,attribute_set_id,category_ids,brand,short_description,description,weight,qty,tier_qty,tier_price,customer_group_id,meta_title,meta_keyword,meta_description,legacy_id
demo-10112,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X1,Phone Model X1 keyword,Phone Model X1 desc,1234
demo-10113,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X2,Phone Model X1 keyword,Phone Model X1 desc,1235
demo-10114,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X3,Phone Model X1 keyword,Phone Model X1 desc,1236
demo-10115,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X4,Phone Model X1 keyword,Phone Model X1 desc,1237
demo-10116,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X5,Phone Model X1 keyword,Phone Model X1 desc,1238
demo-10117,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X6,Phone Model X1 keyword,Phone Model X1 desc,1239
demo-10118,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X7,Phone Model X1 keyword,Phone Model X1 desc,1240
demo-10119,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X8,Phone Model X1 keyword,Phone Model X1 desc,1241
demo-10120,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X9,Phone Model X1 keyword,Phone Model X1 desc,1242
demo-10121,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X10,Phone Model X1 keyword,Phone Model X1 desc,1243
demo-10122,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X11,Phone Model X1 keyword,Phone Model X1 desc,1244
demo-10123,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X12,Phone Model X1 keyword,Phone Model X1 desc,1245
demo-10124,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X13,Phone Model X1 keyword,Phone Model X1 desc,1246
demo-10125,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X14,Phone Model X1 keyword,Phone Model X1 desc,1247
demo-10126,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X15,Phone Model X1 keyword,Phone Model X1 desc,1248
demo-10127,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X16,Phone Model X1 keyword,Phone Model X1 desc,1249
demo-10128,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X17,Phone Model X1 keyword,Phone Model X1 desc,1250
demo-10129,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X18,Phone Model X1 keyword,Phone Model X1 desc,1251
demo-10130,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X19,Phone Model X1 keyword,Phone Model X1 desc,1252
demo-10131,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X20,Phone Model X1 keyword,Phone Model X1 desc,1253
demo-10132,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X21,Phone Model X1 keyword,Phone Model X1 desc,1254
demo-10133,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X22,Phone Model X1 keyword,Phone Model X1 desc,1255
demo-10134,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X23,Phone Model X1 keyword,Phone Model X1 desc,1256
demo-10135,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X24,Phone Model X1 keyword,Phone Model X1 desc,1257
demo-10136,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X25,Phone Model X1 keyword,Phone Model X1 desc,1258
demo-10137,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X26,Phone Model X1 keyword,Phone Model X1 desc,1259
demo-10138,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X27,Phone Model X1 keyword,Phone Model X1 desc,1260
demo-10139,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X28,Phone Model X1 keyword,Phone Model X1 desc,1261
demo-10140,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X29,Phone Model X1 keyword,Phone Model X1 desc,1262
demo-10141,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X30,Phone Model X1 keyword,Phone Model X1 desc,1263
demo-10142,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X31,Phone Model X1 keyword,Phone Model X1 desc,1264
demo-10143,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X32,Phone Model X1 keyword,Phone Model X1 desc,1265
demo-10144,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X33,Phone Model X1 keyword,Phone Model X1 desc,1266
demo-10145,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X34,Phone Model X1 keyword,Phone Model X1 desc,1267
demo-10146,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X35,Phone Model X1 keyword,Phone Model X1 desc,1268
demo-10147,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X36,Phone Model X1 keyword,Phone Model X1 desc,1269
demo-10148,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X37,Phone Model X1 keyword,Phone Model X1 desc,1270
demo-10149,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X38,Phone Model X1 keyword,Phone Model X1 desc,1271
demo-10150,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X39,Phone Model X1 keyword,Phone Model X1 desc,1272
demo-10151,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X40,Phone Model X1 keyword,Phone Model X1 desc,1273
demo-10152,4,Phone Model X1,1,501,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X41,Phone Model X1 keyword,Phone Model X1 desc,1274
demo-10153,4,Phone Protective Case1,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X42,Phone Model X1 keyword,Phone Model X1 desc,1275
demo-10154,4,Phone Model y1,1,51,4,4|5,brand name,short description,description,0,100,5,10,0,Phone Model X43,Phone Model X1 keyword,Phone Model X1 desc,1276
demo-10155,4,Phone Protective Case x1,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X44,Phone Model X1 keyword,Phone Model X1 desc,1277
