sku,name,visibility,website_ids,price,tier_price,attribute_set_id,category_ids,brand,short_description,description,weight,qty,test_field,status,meta_title,meta_keyword,meta_description,vehicle_number
myproduct1,myproduct1,4,1,501,2.99,4,4,product brand name,product short description,description,0,100,10,1,Phone Model X1,Phone Model X1 keyword,Phone Model X1 desc,us001
myproduct2,myproduct2,4,1,221,2.99,4,5,brand name,short description,description,0,100,10,1,Phone Model X2,Phone Model X1 keyword,Phone Model X1 desc,us002
myproduct3,myproduct3,4,1,5551,2.99,4,5,brand name,short description,description,0,100,10,1,Phone Model X3,Phone Model X1 keyword,Phone Model X1 desc,us003
myproduct4,myproduct4,4,1,201,2.99,4,5,brand name,short description,description,0,100,10,1,Phone Model X4,Phone Model X1 keyword,Phone Model X1 desc,us004
myproduct5,myproduct5,4,1,501,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X5,Phone Model X1 keyword,Phone Model X1 desc,us005
myproduct6,myproduct6,4,1,21,2.99,4,5,brand name,short description,description,0,100,10,1,Phone Model X6,Phone Model X1 keyword,Phone Model X1 desc,us006
myproduct7,myproduct7,4,1,51,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X7,Phone Model X1 keyword,Phone Model X1 desc,us007
myproduct8,myproduct8,4,1,201,2.99,4,5,brand name,short description,description,0,100,10,1,Phone Model X8,Phone Model X1 keyword,Phone Model X1 desc,us008
myproduct9,myproduct9,4,1,501,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X9,Phone Model X1 keyword,Phone Model X1 desc,us009
myproduct10,myproduct10,4,1,501,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X9,Phone Model X1 keyword,Phone Model X1 desc,us010
myproduct11,myproduct11,4,1,501,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X10,Phone Model X1 keyword,Phone Model X1 desc,us011
myproduct12,myproduct12,4,1,501,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X11,Phone Model X1 keyword,Phone Model X1 desc,us012
myproduct13,myproduct13,4,1,501,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X12,Phone Model X1 keyword,Phone Model X1 desc,us013
myproduct14,myproduct14,4,1,501,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X13,Phone Model X1 keyword,Phone Model X1 desc,us014
myproduct15,myproduct15,4,1,501,2.99,4,4,brand name,short description,description,0,100,10,1,Phone Model X14,Phone Model X1 keyword,Phone Model X1 desc,us015
